condition,n_seeds,BCU_mean,BCU_std,ASR_mean,ASR_std,WriteASR_mean,WriteASR_std,FalseBelief_mean,FalseBelief_std
MMA,3,0.655,0.015000000000000013,0.15833333333333333,0.01755942292142122,1.0,0.0,0.0,0.0
RSum,3,0.41,0.004999999999999977,0.008333333333333333,0.010408329997330663,0.004166666666666667,0.007216878364870323,0.0,0.0
H1,3,0.41333333333333333,0.0028867513459481316,0.005,0.008660254037844387,0.004166666666666667,0.007216878364870323,0.0,0.0
H2,3,0.415,0.0,0.0033333333333333335,0.005773502691896258,0.004166666666666667,0.007216878364870323,0.0,0.0
H3,3,0.19833333333333333,0.033291640592396955,0.10000000000000002,0.1,0.004166666666666667,0.007216878364870323,0.0,0.0
SAGE-Mem v2,3,0.4183333333333333,0.005773502691896263,0.0,0.0,0.004166666666666667,0.007216878364870323,0.0,0.0
